Time	Node	Type	Packets	
1	Rtr1	CacheHits	7
1	Rtr1	CacheMisses	1633
1	Rtr2	CacheHits	7
1	Rtr2	CacheMisses	1600
1	Rtr3	CacheHits	7
1	Rtr3	CacheMisses	1588
1	Rtr7	CacheHits	9
1	Rtr7	CacheMisses	4744
1	Rtr4	CacheHits	201
1	Rtr4	CacheMisses	2720
1	Rtr5	CacheHits	212
1	Rtr5	CacheMisses	2674
1	Rtr6	CacheHits	184
1	Rtr6	CacheMisses	2761
1	Src1	CacheHits	5
1	Src1	CacheMisses	529
1	Src2	CacheHits	5
1	Src2	CacheMisses	571
1	Src3	CacheHits	5
1	Src3	CacheMisses	565
1	Src4	CacheHits	5
1	Src4	CacheMisses	556
1	Src5	CacheHits	5
1	Src5	CacheMisses	533
1	Src6	CacheHits	5
1	Src6	CacheMisses	549
1	Src7	CacheHits	5
1	Src7	CacheMisses	540
1	Src8	CacheHits	5
1	Src8	CacheMisses	530
1	Src9	CacheHits	5
1	Src9	CacheMisses	552
1	Dst1	CacheHits	146
1	Dst1	CacheMisses	775
1	Dst2	CacheHits	148
1	Dst2	CacheMisses	734
1	Dst3	CacheHits	145
1	Dst3	CacheMisses	770
1	Dst4	CacheHits	134
1	Dst4	CacheMisses	748
1	Dst5	CacheHits	157
1	Dst5	CacheMisses	751
1	Dst6	CacheHits	140
1	Dst6	CacheMisses	742
1	Dst7	CacheHits	146
1	Dst7	CacheMisses	775
1	Dst8	CacheHits	154
1	Dst8	CacheMisses	762
1	Dst9	CacheHits	162
1	Dst9	CacheMisses	751
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	1150
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	1196
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	1235
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	3560
2	Rtr4	CacheHits	161
2	Rtr4	CacheMisses	2780
2	Rtr5	CacheHits	168
2	Rtr5	CacheMisses	2835
2	Rtr6	CacheHits	168
2	Rtr6	CacheMisses	2746
2	Src1	CacheHits	0
2	Src1	CacheMisses	373
2	Src2	CacheHits	0
2	Src2	CacheMisses	384
2	Src3	CacheHits	0
2	Src3	CacheMisses	396
2	Src4	CacheHits	0
2	Src4	CacheMisses	399
2	Src5	CacheHits	0
2	Src5	CacheMisses	371
2	Src6	CacheHits	0
2	Src6	CacheMisses	421
2	Src7	CacheHits	0
2	Src7	CacheMisses	361
2	Src8	CacheHits	0
2	Src8	CacheMisses	431
2	Src9	CacheHits	0
2	Src9	CacheMisses	448
2	Dst1	CacheHits	107
2	Dst1	CacheMisses	845
2	Dst2	CacheHits	115
2	Dst2	CacheMisses	799
2	Dst3	CacheHits	111
2	Dst3	CacheMisses	797
2	Dst4	CacheHits	128
2	Dst4	CacheMisses	842
2	Dst5	CacheHits	119
2	Dst5	CacheMisses	815
2	Dst6	CacheHits	145
2	Dst6	CacheMisses	781
2	Dst7	CacheHits	110
2	Dst7	CacheMisses	812
2	Dst8	CacheHits	138
2	Dst8	CacheMisses	805
2	Dst9	CacheHits	117
2	Dst9	CacheMisses	770
3	Rtr1	CacheHits	0
3	Rtr1	CacheMisses	1202
