Time	Node	Type	Packets	
1	Rtr1	CacheHits	7
1	Rtr1	CacheMisses	1624
1	Rtr2	CacheHits	7
1	Rtr2	CacheMisses	1534
1	Rtr3	CacheHits	7
1	Rtr3	CacheMisses	1578
1	Rtr7	CacheHits	9
1	Rtr7	CacheMisses	4677
1	Rtr4	CacheHits	1362
1	Rtr4	CacheMisses	1556
1	Rtr5	CacheHits	1456
1	Rtr5	CacheMisses	1507
1	Rtr6	CacheHits	1278
1	Rtr6	CacheMisses	1612
1	Src1	CacheHits	5
1	Src1	CacheMisses	544
1	Src2	CacheHits	5
1	Src2	CacheMisses	550
1	Src3	CacheHits	5
1	Src3	CacheMisses	552
1	Src4	CacheHits	5
1	Src4	CacheMisses	550
1	Src5	CacheHits	5
1	Src5	CacheMisses	501
1	Src6	CacheHits	5
1	Src6	CacheMisses	522
1	Src7	CacheHits	5
1	Src7	CacheMisses	525
1	Src8	CacheHits	5
1	Src8	CacheMisses	550
1	Src9	CacheHits	5
1	Src9	CacheMisses	538
1	Dst1	CacheHits	5
1	Dst1	CacheMisses	517
1	Dst2	CacheHits	5
1	Dst2	CacheMisses	535
1	Dst3	CacheHits	5
1	Dst3	CacheMisses	510
1	Dst4	CacheHits	5
1	Dst4	CacheMisses	500
1	Dst5	CacheHits	5
1	Dst5	CacheMisses	486
1	Dst6	CacheHits	5
1	Dst6	CacheMisses	527
1	Dst7	CacheHits	5
1	Dst7	CacheMisses	532
1	Dst8	CacheHits	5
1	Dst8	CacheMisses	550
1	Dst9	CacheHits	5
1	Dst9	CacheMisses	536
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	1244
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	1075
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	1093
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	3408
2	Rtr4	CacheHits	1123
2	Rtr4	CacheMisses	1768
2	Rtr5	CacheHits	981
2	Rtr5	CacheMisses	1940
2	Rtr6	CacheHits	865
2	Rtr6	CacheMisses	2074
2	Src1	CacheHits	0
2	Src1	CacheMisses	443
2	Src2	CacheHits	0
2	Src2	CacheMisses	468
2	Src3	CacheHits	0
2	Src3	CacheMisses	338
2	Src4	CacheHits	0
2	Src4	CacheMisses	344
2	Src5	CacheHits	0
2	Src5	CacheMisses	395
2	Src6	CacheHits	0
2	Src6	CacheMisses	329
2	Src7	CacheHits	0
2	Src7	CacheMisses	372
2	Src8	CacheHits	0
2	Src8	CacheMisses	357
2	Src9	CacheHits	0
2	Src9	CacheMisses	362
2	Dst1	CacheHits	226
2	Dst1	CacheMisses	357
2	Dst2	CacheHits	207
2	Dst2	CacheMisses	355
2	Dst3	CacheHits	218
2	Dst3	CacheMisses	374
2	Dst4	CacheHits	263
2	Dst4	CacheMisses	330
2	Dst5	CacheHits	311
2	Dst5	CacheMisses	397
2	Dst6	CacheHits	255
2	Dst6	CacheMisses	359
2	Dst7	CacheHits	260
2	Dst7	CacheMisses	336
2	Dst8	CacheHits	340
2	Dst8	CacheMisses	429
2	Dst9	CacheHits	241
2	Dst9	CacheMisses	451
3	Rtr1	CacheHits	0
3	Rtr1	CacheMisses	1151
3	Rtr2	CacheHits	0
3	Rtr2	CacheMisses	1187
3	Rtr3	CacheHits	0
3	Rtr3	CacheMisses	1188
3	Rtr7	CacheHits	0
3	Rtr7	CacheMisses	3520
3	Rtr4	CacheHits	239
3	Rtr4	CacheMisses	2689
3	Rtr5	CacheHits	250
3	Rtr5	CacheMisses	2585
3	Rtr6	CacheHits	214
3	Rtr6	CacheMisses	2756
3	Src1	CacheHits	0
3	Src1	CacheMisses	388
3	Src2	CacheHits	0
3	Src2	CacheMisses	398
3	Src3	CacheHits	0
3	Src3	CacheMisses	363
3	Src4	CacheHits	0
3	Src4	CacheMisses	390
3	Src5	CacheHits	0
3	Src5	CacheMisses	394
3	Src6	CacheHits	0
3	Src6	CacheMisses	407
3	Src7	CacheHits	0
3	Src7	CacheMisses	414
3	Src8	CacheHits	0
3	Src8	CacheMisses	408
3	Src9	CacheHits	0
3	Src9	CacheMisses	373
3	Dst1	CacheHits	525
3	Dst1	CacheMisses	380
3	Dst2	CacheHits	497
3	Dst2	CacheMisses	393
3	Dst3	CacheHits	484
3	Dst3	CacheMisses	405
3	Dst4	CacheHits	451
3	Dst4	CacheMisses	411
3	Dst5	CacheHits	487
3	Dst5	CacheMisses	398
3	Dst6	CacheHits	463
3	Dst6	CacheMisses	373
3	Dst7	CacheHits	506
