Time	Node	Type	Packets	
1	Rtr1	CacheHits	7
1	Rtr1	CacheMisses	1620
1	Rtr2	CacheHits	7
1	Rtr2	CacheMisses	1621
1	Rtr3	CacheHits	7
1	Rtr3	CacheMisses	1651
1	Rtr7	CacheHits	9
1	Rtr7	CacheMisses	4811
1	Rtr4	CacheHits	24
1	Rtr4	CacheMisses	2894
1	Rtr5	CacheHits	7
1	Rtr5	CacheMisses	2956
1	Rtr6	CacheHits	26
1	Rtr6	CacheMisses	2864
1	Src1	CacheHits	5
1	Src1	CacheMisses	550
1	Src2	CacheHits	5
1	Src2	CacheMisses	548
1	Src3	CacheHits	5
1	Src3	CacheMisses	554
1	Src4	CacheHits	5
1	Src4	CacheMisses	565
1	Src5	CacheHits	5
1	Src5	CacheMisses	535
1	Src6	CacheHits	5
1	Src6	CacheMisses	560
1	Src7	CacheHits	5
1	Src7	CacheMisses	564
1	Src8	CacheHits	5
1	Src8	CacheMisses	574
1	Src9	CacheHits	5
1	Src9	CacheMisses	548
1	Dst1	CacheHits	447
1	Dst1	CacheMisses	521
1	Dst2	CacheHits	426
1	Dst2	CacheMisses	553
1	Dst3	CacheHits	393
1	Dst3	CacheMisses	550
1	Dst4	CacheHits	454
1	Dst4	CacheMisses	539
1	Dst5	CacheHits	432
1	Dst5	CacheMisses	513
1	Dst6	CacheHits	467
1	Dst6	CacheMisses	537
1	Dst7	CacheHits	405
1	Dst7	CacheMisses	531
1	Dst8	CacheHits	426
1	Dst8	CacheMisses	531
1	Dst9	CacheHits	426
1	Dst9	CacheMisses	539
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	1162
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	1176
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	1148
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	3472
2	Rtr4	CacheHits	48
2	Rtr4	CacheMisses	2860
2	Rtr5	CacheHits	16
2	Rtr5	CacheMisses	2950
2	Rtr6	CacheHits	19
2	Rtr6	CacheMisses	2938
2	Src1	CacheHits	0
2	Src1	CacheMisses	362
2	Src2	CacheHits	0
2	Src2	CacheMisses	401
2	Src3	CacheHits	0
2	Src3	CacheMisses	405
2	Src4	CacheHits	0
2	Src4	CacheMisses	389
2	Src5	CacheHits	0
2	Src5	CacheMisses	407
2	Src6	CacheHits	0
2	Src6	CacheMisses	373
2	Src7	CacheHits	0
2	Src7	CacheMisses	382
2	Src8	CacheHits	0
2	Src8	CacheMisses	372
2	Src9	CacheHits	0
2	Src9	CacheMisses	392
2	Dst1	CacheHits	536
2	Dst1	CacheMisses	393
2	Dst2	CacheHits	585
2	Dst2	CacheMisses	378
2	Dst3	CacheHits	589
