Time	Node	Type	Packets	
1	Rtr1	CacheHits	7
1	Rtr1	CacheMisses	1557
1	Rtr2	CacheHits	7
1	Rtr2	CacheMisses	1551
1	Rtr3	CacheHits	7
1	Rtr3	CacheMisses	1592
1	Rtr7	CacheHits	9
1	Rtr7	CacheMisses	4631
1	Rtr4	CacheHits	1098
1	Rtr4	CacheMisses	1820
1	Rtr5	CacheHits	1153
1	Rtr5	CacheMisses	1810
1	Rtr6	CacheHits	1080
1	Rtr6	CacheMisses	1810
1	Src1	CacheHits	5
1	Src1	CacheMisses	531
1	Src2	CacheHits	5
1	Src2	CacheMisses	516
1	Src3	CacheHits	5
1	Src3	CacheMisses	542
1	Src4	CacheHits	5
1	Src4	CacheMisses	548
1	Src5	CacheHits	5
1	Src5	CacheMisses	526
1	Src6	CacheHits	5
1	Src6	CacheMisses	516
1	Src7	CacheHits	5
1	Src7	CacheMisses	531
1	Src8	CacheHits	5
1	Src8	CacheMisses	538
1	Src9	CacheHits	5
1	Src9	CacheMisses	558
1	Dst1	CacheHits	86
1	Dst1	CacheMisses	532
1	Dst2	CacheHits	85
1	Dst2	CacheMisses	525
1	Dst3	CacheHits	85
1	Dst3	CacheMisses	514
1	Dst4	CacheHits	103
1	Dst4	CacheMisses	498
1	Dst5	CacheHits	87
1	Dst5	CacheMisses	504
1	Dst6	CacheHits	94
1	Dst6	CacheMisses	525
1	Dst7	CacheHits	79
1	Dst7	CacheMisses	526
1	Dst8	CacheHits	100
1	Dst8	CacheMisses	500
1	Dst9	CacheHits	91
1	Dst9	CacheMisses	520
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	1096
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	1099
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	1124
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	3334
2	Rtr4	CacheHits	1392
2	Rtr4	CacheMisses	1488
2	Rtr5	CacheHits	1280
2	Rtr5	CacheMisses	1662
2	Rtr6	CacheHits	1428
2	Rtr6	CacheMisses	1515
2	Src1	CacheHits	0
2	Src1	CacheMisses	358
2	Src2	CacheHits	0
2	Src2	CacheMisses	366
2	Src3	CacheHits	0
2	Src3	CacheMisses	374
2	Src4	CacheHits	0
2	Src4	CacheMisses	345
2	Src5	CacheHits	0
2	Src5	CacheMisses	384
2	Src6	CacheHits	0
2	Src6	CacheMisses	353
2	Src7	CacheHits	0
2	Src7	CacheMisses	355
2	Src8	CacheHits	0
2	Src8	CacheMisses	413
2	Src9	CacheHits	0
2	Src9	CacheMisses	354
2	Dst1	CacheHits	121
2	Dst1	CacheMisses	364
2	Dst2	CacheHits	126
2	Dst2	CacheMisses	413
2	Dst3	CacheHits	134
2	Dst3	CacheMisses	340
2	Dst4	CacheHits	191
2	Dst4	CacheMisses	349
2	Dst5	CacheHits	168
2	Dst5	CacheMisses	399
2	Dst6	CacheHits	194
2	Dst6	CacheMisses	373
2	Dst7	CacheHits	129
2	Dst7	CacheMisses	386
2	Dst8	CacheHits	166
2	Dst8	CacheMisses	361
2	Dst9	CacheHits	128
2	Dst9	CacheMisses	351
3	Rtr1	CacheHits	0
3	Rtr1	CacheMisses	1232
3	Rtr2	CacheHits	0
3	Rtr2	CacheMisses	1253
3	Rtr3	CacheHits	0
3	Rtr3	CacheMisses	1135
3	Rtr7	CacheHits	0
3	Rtr7	CacheMisses	3606
3	Rtr4	CacheHits	1472
3	Rtr4	CacheMisses	1502
3	Rtr5	CacheHits	963
3	Rtr5	CacheMisses	1910
3	Rtr6	CacheHits	1103
3	Rtr6	CacheMisses	1854
3	Src1	CacheHits	0
3	Src1	CacheMisses	377
3	Src2	CacheHits	0
3	Src2	CacheMisses	445
3	Src3	CacheHits	0
3	Src3	CacheMisses	401
3	Src4	CacheHits	0
3	Src4	CacheMisses	396
3	Src5	CacheHits	0
3	Src5	CacheMisses	450
3	Src6	CacheHits	0
3	Src6	CacheMisses	411
3	Src7	CacheHits	0
3	Src7	CacheMisses	394
3	Src8	CacheHits	0
3	Src8	CacheMisses	393
3	Src9	CacheHits	0
3	Src9	CacheMisses	355
3	Dst1	CacheHits	114
3	Dst1	CacheMisses	357
3	Dst2	CacheHits	116
3	Dst2	CacheMisses	391
3	Dst3	CacheHits	105
3	Dst3	CacheMisses	409
3	Dst4	CacheHits	219
3	Dst4	CacheMisses	421
3	Dst5	CacheHits	193
3	Dst5	CacheMisses	437
3	Dst6	CacheHits	221
3	Dst6	CacheMisses	415
3	Dst7	CacheHits	200
3	Dst7	CacheMisses	397
3	Dst8	CacheHits	182
3	Dst8	CacheMisses	491
3	Dst9	CacheHits	194
3	Dst9	CacheMisses	389
4	Rtr1	CacheHits	0
4	Rtr1	CacheMisses	1187
4	Rtr2	CacheHits	0
4	Rtr2	CacheMisses	1214
4	Rtr3	CacheHits	0
4	Rtr3	CacheMisses	1169
4	Rtr7	CacheHits	0
4	Rtr7	CacheMisses	3568
4	Rtr4	CacheHits	1366
4	Rtr4	CacheMisses	1569
4	Rtr5	CacheHits	949
4	Rtr5	CacheMisses	1956
4	Rtr6	CacheHits	969
4	Rtr6	CacheMisses	1917
4	Src1	CacheHits	0
4	Src1	CacheMisses	378
4	Src2	CacheHits	0
4	Src2	CacheMisses	432
4	Src3	CacheHits	0
4	Src3	CacheMisses	388
4	Src4	CacheHits	0
4	Src4	CacheMisses	430
4	Src5	CacheHits	0
4	Src5	CacheMisses	403
4	Src6	CacheHits	0
4	Src6	CacheMisses	391
4	Src7	CacheHits	0
4	Src7	CacheMisses	416
4	Src8	CacheHits	0
4	Src8	CacheMisses	334
4	Src9	CacheHits	0
4	Src9	CacheMisses	412
4	Dst1	CacheHits	117
4	Dst1	CacheMisses	417
4	Dst2	CacheHits	144
4	Dst2	CacheMisses	352
4	Dst3	CacheHits	132
4	Dst3	CacheMisses	402
4	Dst4	CacheHits	213
4	Dst4	CacheMisses	393
4	Dst5	CacheHits	215
4	Dst5	CacheMisses	403
4	Dst6	CacheHits	313
4	Dst6	CacheMisses	405
4	Dst7	CacheHits	228
4	Dst7	CacheMisses	386
4	Dst8	CacheHits	282
4	Dst8	CacheMisses	404
4	Dst9	CacheHits	216
4	Dst9	CacheMisses	399
5	Rtr1	CacheHits	0
5	Rtr1	CacheMisses	1214
5	Rtr2	CacheHits	0
5	Rtr2	CacheMisses	1199
5	Rtr3	CacheHits	0
5	Rtr3	CacheMisses	1122
5	Rtr7	CacheHits	0
5	Rtr7	CacheMisses	3570
5	Rtr4	CacheHits	1320
5	Rtr4	CacheMisses	1555
5	Rtr5	CacheHits	859
5	Rtr5	CacheMisses	2095
5	Rtr6	CacheHits	930
5	Rtr6	CacheMisses	1994
5	Src1	CacheHits	0
5	Src1	CacheMisses	388
