Time	Node	Type	Packets	
1	Rtr1	CacheHits	7
1	Rtr1	CacheMisses	1629
1	Rtr2	CacheHits	7
1	Rtr2	CacheMisses	1594
1	Rtr3	CacheHits	7
1	Rtr3	CacheMisses	1586
1	Rtr7	CacheHits	9
1	Rtr7	CacheMisses	4736
1	Rtr4	CacheHits	490
1	Rtr4	CacheMisses	2431
1	Rtr5	CacheHits	532
1	Rtr5	CacheMisses	2354
1	Rtr6	CacheHits	509
1	Rtr6	CacheMisses	2436
1	Src1	CacheHits	5
1	Src1	CacheMisses	530
1	Src2	CacheHits	5
1	Src2	CacheMisses	563
1	Src3	CacheHits	5
1	Src3	CacheMisses	568
1	Src4	CacheHits	5
1	Src4	CacheMisses	542
1	Src5	CacheHits	5
1	Src5	CacheMisses	539
1	Src6	CacheHits	5
1	Src6	CacheMisses	551
1	Src7	CacheHits	5
1	Src7	CacheMisses	546
1	Src8	CacheHits	5
1	Src8	CacheMisses	524
1	Src9	CacheHits	5
1	Src9	CacheMisses	552
1	Dst1	CacheHits	281
1	Dst1	CacheMisses	550
1	Dst2	CacheHits	251
1	Dst2	CacheMisses	530
1	Dst3	CacheHits	273
1	Dst3	CacheMisses	548
1	Dst4	CacheHits	226
1	Dst4	CacheMisses	550
1	Dst5	CacheHits	276
1	Dst5	CacheMisses	539
1	Dst6	CacheHits	225
1	Dst6	CacheMisses	543
1	Dst7	CacheHits	255
1	Dst7	CacheMisses	567
1	Dst8	CacheHits	236
1	Dst8	CacheMisses	561
1	Dst9	CacheHits	282
1	Dst9	CacheMisses	529
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	1184
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	1201
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	1235
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	3595
2	Rtr4	CacheHits	433
2	Rtr4	CacheMisses	2505
2	Rtr5	CacheHits	449
2	Rtr5	CacheMisses	2548
2	Rtr6	CacheHits	410
2	Rtr6	CacheMisses	2508
2	Src1	CacheHits	0
2	Src1	CacheMisses	374
2	Src2	CacheHits	0
2	Src2	CacheMisses	384
2	Src3	CacheHits	0
2	Src3	CacheMisses	429
2	Src4	CacheHits	0
2	Src4	CacheMisses	397
2	Src5	CacheHits	0
2	Src5	CacheMisses	384
2	Src6	CacheHits	0
2	Src6	CacheMisses	415
2	Src7	CacheHits	0
2	Src7	CacheMisses	380
2	Src8	CacheHits	0
2	Src8	CacheMisses	410
2	Src9	CacheHits	0
2	Src9	CacheMisses	448
2	Dst1	CacheHits	254
2	Dst1	CacheMisses	605
2	Dst2	CacheHits	252
2	Dst2	CacheMisses	567
2	Dst3	CacheHits	260
2	Dst3	CacheMisses	558
2	Dst4	CacheHits	253
2	Dst4	CacheMisses	618
2	Dst5	CacheHits	267
2	Dst5	CacheMisses	581
2	Dst6	CacheHits	264
2	Dst6	CacheMisses	559
2	Dst7	CacheHits	230
2	Dst7	CacheMisses	619
2	Dst8	CacheHits	266
2	Dst8	CacheMisses	580
2	Dst9	CacheHits	258
2	Dst9	CacheMisses	556
3	Rtr1	CacheHits	0
3	Rtr1	CacheMisses	1195
3	Rtr2	CacheHits	0
3	Rtr2	CacheMisses	1182
3	Rtr3	CacheHits	0
3	Rtr3	CacheMisses	1184
3	Rtr7	CacheHits	0
3	Rtr7	CacheMisses	3564
3	Rtr4	CacheHits	306
3	Rtr4	CacheMisses	2655
3	Rtr5	CacheHits	298
3	Rtr5	CacheMisses	2651
3	Rtr6	CacheHits	271
3	Rtr6	CacheMisses	2679
3	Src1	CacheHits	0
3	Src1	CacheMisses	372
3	Src2	CacheHits	0
3	Src2	CacheMisses	402
3	Src3	CacheHits	0
3	Src3	CacheMisses	429
3	Src4	CacheHits	0
3	Src4	CacheMisses	423
3	Src5	CacheHits	0
3	Src5	CacheMisses	386
3	Src6	CacheHits	0
3	Src6	CacheMisses	375
3	Src7	CacheHits	0
3	Src7	CacheMisses	393
3	Src8	CacheHits	0
3	Src8	CacheMisses	373
3	Src9	CacheHits	0
3	Src9	CacheMisses	415
3	Dst1	CacheHits	201
3	Dst1	CacheMisses	720
3	Dst2	CacheHits	217
3	Dst2	CacheMisses	647
3	Dst3	CacheHits	196
3	Dst3	CacheMisses	674
3	Dst4	CacheHits	199
3	Dst4	CacheMisses	655
3	Dst5	CacheHits	203
3	Dst5	CacheMisses	687
