Time	Node	Type	Packets	
1	Rtr1	CacheHits	98
1	Rtr1	CacheMisses	1151
1	Rtr2	CacheHits	90
1	Rtr2	CacheMisses	1176
1	Rtr3	CacheHits	99
1	Rtr3	CacheMisses	1169
1	Rtr7	CacheHits	85
1	Rtr7	CacheMisses	3617
1	Rtr4	CacheHits	85
1	Rtr4	CacheMisses	1825
1	Rtr5	CacheHits	127
1	Rtr5	CacheMisses	1752
1	Rtr6	CacheHits	125
1	Rtr6	CacheMisses	1781
1	Src1	CacheHits	314
1	Src1	CacheMisses	447
1	Src2	CacheHits	256
1	Src2	CacheMisses	405
1	Src3	CacheHits	223
1	Src3	CacheMisses	337
1	Src4	CacheHits	323
1	Src4	CacheMisses	463
1	Src5	CacheHits	263
1	Src5	CacheMisses	421
1	Src6	CacheHits	245
1	Src6	CacheMisses	333
1	Src7	CacheHits	287
1	Src7	CacheMisses	488
1	Src8	CacheHits	283
1	Src8	CacheMisses	390
1	Src9	CacheHits	212
1	Src9	CacheMisses	342
1	Dst1	CacheHits	122
1	Dst1	CacheMisses	583
1	Dst2	CacheHits	110
1	Dst2	CacheMisses	510
1	Dst3	CacheHits	113
1	Dst3	CacheMisses	498
1	Dst4	CacheHits	112
1	Dst4	CacheMisses	547
1	Dst5	CacheHits	100
1	Dst5	CacheMisses	518
1	Dst6	CacheHits	93
1	Dst6	CacheMisses	464
1	Dst7	CacheHits	120
1	Dst7	CacheMisses	567
1	Dst8	CacheHits	101
1	Dst8	CacheMisses	537
1	Dst9	CacheHits	94
1	Dst9	CacheMisses	475
2	Rtr1	CacheHits	111
2	Rtr1	CacheMisses	1054
2	Rtr2	CacheHits	130
2	Rtr2	CacheMisses	1057
2	Rtr3	CacheHits	88
2	Rtr3	CacheMisses	1094
2	Rtr7	CacheHits	53
2	Rtr7	CacheMisses	3280
2	Rtr4	CacheHits	92
2	Rtr4	CacheMisses	1704
2	Rtr5	CacheHits	112
2	Rtr5	CacheMisses	1566
2	Rtr6	CacheHits	75
2	Rtr6	CacheMisses	1596
2	Src1	CacheHits	365
2	Src1	CacheMisses	441
2	Src2	CacheHits	382
2	Src2	CacheMisses	356
2	Src3	CacheHits	330
2	Src3	CacheMisses	310
2	Src4	CacheHits	374
2	Src4	CacheMisses	427
2	Src5	CacheHits	354
2	Src5	CacheMisses	391
2	Src6	CacheHits	328
2	Src6	CacheMisses	293
2	Src7	CacheHits	348
2	Src7	CacheMisses	423
2	Src8	CacheHits	341
2	Src8	CacheMisses	386
2	Src9	CacheHits	314
2	Src9	CacheMisses	310
2	Dst1	CacheHits	110
2	Dst1	CacheMisses	516
2	Dst2	CacheHits	99
2	Dst2	CacheMisses	496
2	Dst3	CacheHits	119
2	Dst3	CacheMisses	435
2	Dst4	CacheHits	101
2	Dst4	CacheMisses	477
2	Dst5	CacheHits	91
2	Dst5	CacheMisses	475
2	Dst6	CacheHits	85
2	Dst6	CacheMisses	417
2	Dst7	CacheHits	90
2	Dst7	CacheMisses	493
2	Dst8	CacheHits	73
2	Dst8	CacheMisses	461
2	Dst9	CacheHits	104
2	Dst9	CacheMisses	451
3	Rtr1	CacheHits	116
3	Rtr1	CacheMisses	1070
3	Rtr2	CacheHits	114
3	Rtr2	CacheMisses	1099
3	Rtr3	CacheHits	108
3	Rtr3	CacheMisses	1075
3	Rtr7	CacheHits	66
3	Rtr7	CacheMisses	3319
3	Rtr4	CacheHits	74
3	Rtr4	CacheMisses	1561
3	Rtr5	CacheHits	93
3	Rtr5	CacheMisses	1598
3	Rtr6	CacheHits	91
3	Rtr6	CacheMisses	1527
3	Src1	CacheHits	406
3	Src1	CacheMisses	434
3	Src2	CacheHits	389
3	Src2	CacheMisses	376
3	Src3	CacheHits	344
3	Src3	CacheMisses	327
3	Src4	CacheHits	348
3	Src4	CacheMisses	456
3	Src5	CacheHits	343
3	Src5	CacheMisses	391
3	Src6	CacheHits	324
3	Src6	CacheMisses	319
3	Src7	CacheHits	370
3	Src7	CacheMisses	426
3	Src8	CacheHits	373
3	Src8	CacheMisses	395
3	Src9	CacheHits	367
3	Src9	CacheMisses	319
3	Dst1	CacheHits	98
3	Dst1	CacheMisses	470
3	Dst2	CacheHits	88
3	Dst2	CacheMisses	454
3	Dst3	CacheHits	92
3	Dst3	CacheMisses	431
3	Dst4	CacheHits	85
3	Dst4	CacheMisses	516
3	Dst5	CacheHits	107
3	Dst5	CacheMisses	466
3	Dst6	CacheHits	98
3	Dst6	CacheMisses	418
3	Dst7	CacheHits	84
3	Dst7	CacheMisses	483
3	Dst8	CacheHits	76
3	Dst8	CacheMisses	439
3	Dst9	CacheHits	100
3	Dst9	CacheMisses	405
4	Rtr1	CacheHits	123
4	Rtr1	CacheMisses	1117
4	Rtr2	CacheHits	108
4	Rtr2	CacheMisses	1106
4	Rtr3	CacheHits	114
4	Rtr3	CacheMisses	1090
4	Rtr7	CacheHits	77
4	Rtr7	CacheMisses	3378
4	Rtr4	CacheHits	94
4	Rtr4	CacheMisses	1548
4	Rtr5	CacheHits	109
4	Rtr5	CacheMisses	1598
4	Rtr6	CacheHits	75
4	Rtr6	CacheMisses	1509
4	Src1	CacheHits	398
4	Src1	CacheMisses	455
4	Src2	CacheHits	392
4	Src2	CacheMisses	400
4	Src3	CacheHits	375
4	Src3	CacheMisses	334
4	Src4	CacheHits	333
4	Src4	CacheMisses	455
4	Src5	CacheHits	372
4	Src5	CacheMisses	381
4	Src6	CacheHits	341
4	Src6	CacheMisses	316
4	Src7	CacheHits	399
4	Src7	CacheMisses	434
4	Src8	CacheHits	375
4	Src8	CacheMisses	398
4	Src9	CacheHits	350
4	Src9	CacheMisses	324
4	Dst1	CacheHits	96
4	Dst1	CacheMisses	476
4	Dst2	CacheHits	87
4	Dst2	CacheMisses	453
4	Dst3	CacheHits	119
4	Dst3	CacheMisses	396
4	Dst4	CacheHits	99
4	Dst4	CacheMisses	477
4	Dst5	CacheHits	112
4	Dst5	CacheMisses	438
4	Dst6	CacheHits	100
4	Dst6	CacheMisses	436
4	Dst7	CacheHits	80
4	Dst7	CacheMisses	455
4	Dst8	CacheHits	78
4	Dst8	CacheMisses	442
4	Dst9	CacheHits	119
4	Dst9	CacheMisses	401
5	Rtr1	CacheHits	139
5	Rtr1	CacheMisses	1067
5	Rtr2	CacheHits	133
5	Rtr2	CacheMisses	1108
5	Rtr3	CacheHits	149
5	Rtr3	CacheMisses	1073
5	Rtr7	CacheHits	75
5	Rtr7	CacheMisses	3309
5	Rtr4	CacheHits	118
5	Rtr4	CacheMisses	1508
5	Rtr5	CacheHits	128
5	Rtr5	CacheMisses	1508
5	Rtr6	CacheHits	104
5	Rtr6	CacheMisses	1554
5	Src1	CacheHits	397
5	Src1	CacheMisses	440
5	Src2	CacheHits	357
5	Src2	CacheMisses	391
5	Src3	CacheHits	320
5	Src3	CacheMisses	334
5	Src4	CacheHits	384
5	Src4	CacheMisses	451
5	Src5	CacheHits	369
5	Src5	CacheMisses	402
5	Src6	CacheHits	340
5	Src6	CacheMisses	347
5	Src7	CacheHits	365
5	Src7	CacheMisses	458
5	Src8	CacheHits	356
5	Src8	CacheMisses	405
5	Src9	CacheHits	380
5	Src9	CacheMisses	314
5	Dst1	CacheHits	78
5	Dst1	CacheMisses	437
5	Dst2	CacheHits	98
5	Dst2	CacheMisses	460
5	Dst3	CacheHits	111
