Time	Node	Type	Packets	
1	Rtr1	CacheHits	68
1	Rtr1	CacheMisses	960
1	Rtr2	CacheHits	59
1	Rtr2	CacheMisses	933
1	Rtr3	CacheHits	53
1	Rtr3	CacheMisses	936
1	Rtr7	CacheHits	236
1	Rtr7	CacheMisses	2805
1	Rtr4	CacheHits	188
1	Rtr4	CacheMisses	1153
1	Rtr5	CacheHits	174
1	Rtr5	CacheMisses	1109
1	Rtr6	CacheHits	168
1	Rtr6	CacheMisses	1185
1	Src1	CacheHits	507
1	Src1	CacheMisses	330
1	Src2	CacheHits	456
1	Src2	CacheMisses	323
1	Src3	CacheHits	407
1	Src3	CacheMisses	319
1	Src4	CacheHits	558
1	Src4	CacheMisses	301
1	Src5	CacheHits	466
1	Src5	CacheMisses	340
1	Src6	CacheHits	463
1	Src6	CacheMisses	307
1	Src7	CacheHits	488
1	Src7	CacheMisses	330
1	Src8	CacheHits	493
1	Src8	CacheMisses	311
1	Src9	CacheHits	440
1	Src9	CacheMisses	308
1	Dst1	CacheHits	161
1	Dst1	CacheMisses	281
1	Dst2	CacheHits	104
1	Dst2	CacheMisses	288
1	Dst3	CacheHits	105
1	Dst3	CacheMisses	298
1	Dst4	CacheHits	120
1	Dst4	CacheMisses	289
1	Dst5	CacheHits	105
1	Dst5	CacheMisses	311
1	Dst6	CacheHits	82
1	Dst6	CacheMisses	268
1	Dst7	CacheHits	155
1	Dst7	CacheMisses	298
1	Dst8	CacheHits	124
1	Dst8	CacheMisses	302
1	Dst9	CacheHits	79
1	Dst9	CacheMisses	309
2	Rtr1	CacheHits	45
2	Rtr1	CacheMisses	783
2	Rtr2	CacheHits	37
2	Rtr2	CacheMisses	775
2	Rtr3	CacheHits	43
2	Rtr3	CacheMisses	790
2	Rtr7	CacheHits	129
2	Rtr7	CacheMisses	2344
2	Rtr4	CacheHits	44
2	Rtr4	CacheMisses	790
2	Rtr5	CacheHits	47
2	Rtr5	CacheMisses	780
2	Rtr6	CacheHits	46
2	Rtr6	CacheMisses	779
2	Src1	CacheHits	664
2	Src1	CacheMisses	271
2	Src2	CacheHits	701
2	Src2	CacheMisses	249
2	Src3	CacheHits	671
2	Src3	CacheMisses	265
2	Src4	CacheHits	668
2	Src4	CacheMisses	259
2	Src5	CacheHits	695
2	Src5	CacheMisses	263
2	Src6	CacheHits	703
2	Src6	CacheMisses	249
2	Src7	CacheHits	665
2	Src7	CacheMisses	270
2	Src8	CacheHits	693
2	Src8	CacheMisses	256
2	Src9	CacheHits	673
2	Src9	CacheMisses	269
2	Dst1	CacheHits	52
2	Dst1	CacheMisses	230
2	Dst2	CacheHits	64
2	Dst2	CacheMisses	203
2	Dst3	CacheHits	55
2	Dst3	CacheMisses	228
2	Dst4	CacheHits	59
2	Dst4	CacheMisses	199
2	Dst5	CacheHits	51
2	Dst5	CacheMisses	223
2	Dst6	CacheHits	79
2	Dst6	CacheMisses	204
2	Dst7	CacheHits	56
2	Dst7	CacheMisses	222
2	Dst8	CacheHits	60
2	Dst8	CacheMisses	194
2	Dst9	CacheHits	64
2	Dst9	CacheMisses	212
3	Rtr1	CacheHits	35
3	Rtr1	CacheMisses	741
3	Rtr2	CacheHits	38
3	Rtr2	CacheMisses	767
3	Rtr3	CacheHits	36
3	Rtr3	CacheMisses	809
3	Rtr7	CacheHits	129
3	Rtr7	CacheMisses	2325
3	Rtr4	CacheHits	46
3	Rtr4	CacheMisses	807
3	Rtr5	CacheHits	55
3	Rtr5	CacheMisses	769
3	Rtr6	CacheHits	45
3	Rtr6	CacheMisses	747
3	Src1	CacheHits	706
3	Src1	CacheMisses	239
3	Src2	CacheHits	688
3	Src2	CacheMisses	254
3	Src3	CacheHits	699
3	Src3	CacheMisses	247
3	Src4	CacheHits	662
3	Src4	CacheMisses	275
3	Src5	CacheHits	712
3	Src5	CacheMisses	246
3	Src6	CacheHits	681
3	Src6	CacheMisses	254
3	Src7	CacheHits	671
3	Src7	CacheMisses	267
3	Src8	CacheHits	669
3	Src8	CacheMisses	285
3	Src9	CacheHits	684
3	Src9	CacheMisses	251
3	Dst1	CacheHits	70
3	Dst1	CacheMisses	204
3	Dst2	CacheHits	42
3	Dst2	CacheMisses	248
3	Dst3	CacheHits	64
3	Dst3	CacheMisses	220
3	Dst4	CacheHits	68
3	Dst4	CacheMisses	200
3	Dst5	CacheHits	64
3	Dst5	CacheMisses	199
3	Dst6	CacheHits	58
3	Dst6	CacheMisses	223
3	Dst7	CacheHits	49
3	Dst7	CacheMisses	208
3	Dst8	CacheHits	60
3	Dst8	CacheMisses	207
3	Dst9	CacheHits	62
3	Dst9	CacheMisses	201
4	Rtr1	CacheHits	34
4	Rtr1	CacheMisses	793
4	Rtr2	CacheHits	46
4	Rtr2	CacheMisses	827
4	Rtr3	CacheHits	43
4	Rtr3	CacheMisses	760
4	Rtr7	CacheHits	132
4	Rtr7	CacheMisses	2376
4	Rtr4	CacheHits	47
4	Rtr4	CacheMisses	759
4	Rtr5	CacheHits	52
4	Rtr5	CacheMisses	826
4	Rtr6	CacheHits	42
4	Rtr6	CacheMisses	791
4	Src1	CacheHits	676
4	Src1	CacheMisses	272
4	Src2	CacheHits	691
4	Src2	CacheMisses	259
4	Src3	CacheHits	672
4	Src3	CacheMisses	263
4	Src4	CacheHits	652
4	Src4	CacheMisses	283
4	Src5	CacheHits	683
4	Src5	CacheMisses	264
4	Src6	CacheHits	651
4	Src6	CacheMisses	275
4	Src7	CacheHits	696
4	Src7	CacheMisses	251
4	Src8	CacheHits	676
4	Src8	CacheMisses	259
4	Src9	CacheHits	701
4	Src9	CacheMisses	250
4	Dst1	CacheHits	42
4	Dst1	CacheMisses	213
4	Dst2	CacheHits	75
4	Dst2	CacheMisses	207
4	Dst3	CacheHits	74
4	Dst3	CacheMisses	190
4	Dst4	CacheHits	69
4	Dst4	CacheMisses	223
4	Dst5	CacheHits	62
4	Dst5	CacheMisses	213
4	Dst6	CacheHits	62
4	Dst6	CacheMisses	239
4	Dst7	CacheHits	62
4	Dst7	CacheMisses	217
4	Dst8	CacheHits	59
4	Dst8	CacheMisses	208
4	Dst9	CacheHits	62
4	Dst9	CacheMisses	224
5	Rtr1	CacheHits	45
5	Rtr1	CacheMisses	797
5	Rtr2	CacheHits	38
5	Rtr2	CacheMisses	788
5	Rtr3	CacheHits	43
5	Rtr3	CacheMisses	803
5	Rtr7	CacheHits	131
5	Rtr7	CacheMisses	2391
5	Rtr4	CacheHits	43
5	Rtr4	CacheMisses	802
5	Rtr5	CacheHits	42
5	Rtr5	CacheMisses	788
5	Rtr6	CacheHits	43
5	Rtr6	CacheMisses	800
5	Src1	CacheHits	704
5	Src1	CacheMisses	249
5	Src2	CacheHits	645
5	Src2	CacheMisses	289
5	Src3	CacheHits	697
5	Src3	CacheMisses	255
5	Src4	CacheHits	672
5	Src4	CacheMisses	273
5	Src5	CacheHits	690
5	Src5	CacheMisses	250
5	Src6	CacheHits	684
5	Src6	CacheMisses	261
5	Src7	CacheHits	685
5	Src7	CacheMisses	269
5	Src8	CacheHits	650
5	Src8	CacheMisses	274
5	Src9	CacheHits	688
5	Src9	CacheMisses	261
5	Dst1	CacheHits	50
5	Dst1	CacheMisses	224
5	Dst2	CacheHits	76
5	Dst2	CacheMisses	219
5	Dst3	CacheHits	61
5	Dst3	CacheMisses	214
5	Dst4	CacheHits	62
5	Dst4	CacheMisses	216
5	Dst5	CacheHits	59
5	Dst5	CacheMisses	208
5	Dst6	CacheHits	58
5	Dst6	CacheMisses	223
5	Dst7	CacheHits	60
5	Dst7	CacheMisses	203
5	Dst8	CacheHits	54
5	Dst8	CacheMisses	247
5	Dst9	CacheHits	59
5	Dst9	CacheMisses	208
6	Rtr1	CacheHits	42
6	Rtr1	CacheMisses	799
6	Rtr2	CacheHits	37
6	Rtr2	CacheMisses	788
6	Rtr3	CacheHits	37
6	Rtr3	CacheMisses	820
6	Rtr7	CacheHits	121
6	Rtr7	CacheMisses	2410
6	Rtr4	CacheHits	42
6	Rtr4	CacheMisses	825
6	Rtr5	CacheHits	41
6	Rtr5	CacheMisses	788
6	Rtr6	CacheHits	49
6	Rtr6	CacheMisses	797
6	Src1	CacheHits	673
6	Src1	CacheMisses	267
6	Src2	CacheHits	693
6	Src2	CacheMisses	252
