Time	Node	Type	Packets	
1	Rtr1	CacheHits	1
1	Rtr1	CacheMisses	1631
1	Rtr2	CacheHits	1
1	Rtr2	CacheMisses	1549
1	Rtr3	CacheHits	1
1	Rtr3	CacheMisses	1590
1	Rtr7	CacheHits	1
1	Rtr7	CacheMisses	4698
1	Rtr4	CacheHits	1189
1	Rtr4	CacheMisses	1723
1	Rtr5	CacheHits	1314
1	Rtr5	CacheMisses	1643
1	Rtr6	CacheHits	1135
1	Rtr6	CacheMisses	1749
1	Src1	CacheHits	1
1	Src1	CacheMisses	544
1	Src2	CacheHits	1
1	Src2	CacheMisses	550
1	Src3	CacheHits	1
1	Src3	CacheMisses	559
1	Src4	CacheHits	1
1	Src4	CacheMisses	554
1	Src5	CacheHits	1
1	Src5	CacheMisses	506
1	Src6	CacheHits	1
1	Src6	CacheMisses	528
1	Src7	CacheHits	1
1	Src7	CacheMisses	527
1	Src8	CacheHits	1
1	Src8	CacheMisses	555
1	Src9	CacheHits	1
1	Src9	CacheMisses	543
1	Dst1	CacheHits	55
1	Dst1	CacheMisses	517
1	Dst2	CacheHits	59
1	Dst2	CacheMisses	535
1	Dst3	CacheHits	55
1	Dst3	CacheMisses	510
1	Dst4	CacheHits	44
1	Dst4	CacheMisses	500
1	Dst5	CacheHits	53
1	Dst5	CacheMisses	485
1	Dst6	CacheHits	42
1	Dst6	CacheMisses	528
1	Dst7	CacheHits	34
1	Dst7	CacheMisses	532
1	Dst8	CacheHits	42
1	Dst8	CacheMisses	550
1	Dst9	CacheHits	47
1	Dst9	CacheMisses	536
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	1190
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	1125
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	1129
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	3441
2	Rtr4	CacheHits	1586
2	Rtr4	CacheMisses	1357
2	Rtr5	CacheHits	1501
2	Rtr5	CacheMisses	1493
2	Rtr6	CacheHits	1461
2	Rtr6	CacheMisses	1529
2	Src1	CacheHits	0
2	Src1	CacheMisses	414
2	Src2	CacheHits	0
2	Src2	CacheMisses	411
2	Src3	CacheHits	0
2	Src3	CacheMisses	370
2	Src4	CacheHits	0
2	Src4	CacheMisses	347
2	Src5	CacheHits	0
2	Src5	CacheMisses	397
2	Src6	CacheHits	0
2	Src6	CacheMisses	364
2	Src7	CacheHits	0
2	Src7	CacheMisses	394
2	Src8	CacheHits	0
2	Src8	CacheMisses	366
2	Src9	CacheHits	0
2	Src9	CacheMisses	367
2	Dst1	CacheHits	79
2	Dst1	CacheMisses	354
2	Dst2	CacheHits	84
2	Dst2	CacheMisses	365
2	Dst3	CacheHits	80
2	Dst3	CacheMisses	384
2	Dst4	CacheHits	106
2	Dst4	CacheMisses	375
2	Dst5	CacheHits	102
2	Dst5	CacheMisses	418
2	Dst6	CacheHits	121
2	Dst6	CacheMisses	359
2	Dst7	CacheHits	95
2	Dst7	CacheMisses	375
2	Dst8	CacheHits	151
2	Dst8	CacheMisses	372
2	Dst9	CacheHits	115
2	Dst9	CacheMisses	422
3	Rtr1	CacheHits	0
3	Rtr1	CacheMisses	1223
3	Rtr2	CacheHits	0
3	Rtr2	CacheMisses	1265
3	Rtr3	CacheHits	0
3	Rtr3	CacheMisses	1189
3	Rtr7	CacheHits	0
3	Rtr7	CacheMisses	3698
3	Rtr4	CacheHits	1495
3	Rtr4	CacheMisses	1542
3	Rtr5	CacheHits	1335
3	Rtr5	CacheMisses	1624
3	Rtr6	CacheHits	1354
3	Rtr6	CacheMisses	1691
3	Src1	CacheHits	0
3	Src1	CacheMisses	393
3	Src2	CacheHits	0
3	Src2	CacheMisses	452
3	Src3	CacheHits	0
3	Src3	CacheMisses	365
3	Src4	CacheHits	0
3	Src4	CacheMisses	411
3	Src5	CacheHits	0
3	Src5	CacheMisses	468
3	Src6	CacheHits	0
3	Src6	CacheMisses	390
3	Src7	CacheHits	0
3	Src7	CacheMisses	421
3	Src8	CacheHits	0
3	Src8	CacheMisses	374
3	Src9	CacheHits	0
3	Src9	CacheMisses	401
3	Dst1	CacheHits	122
3	Dst1	CacheMisses	400
3	Dst2	CacheHits	127
3	Dst2	CacheMisses	365
3	Dst3	CacheHits	100
3	Dst3	CacheMisses	421
3	Dst4	CacheHits	116
3	Dst4	CacheMisses	390
3	Dst5	CacheHits	136
3	Dst5	CacheMisses	443
3	Dst6	CacheHits	105
3	Dst6	CacheMisses	430
3	Dst7	CacheHits	121
3	Dst7	CacheMisses	381
3	Dst8	CacheHits	159
3	Dst8	CacheMisses	498
3	Dst9	CacheHits	137
3	Dst9	CacheMisses	398
4	Rtr1	CacheHits	0
4	Rtr1	CacheMisses	1142
4	Rtr2	CacheHits	0
4	Rtr2	CacheMisses	1166
4	Rtr3	CacheHits	0
4	Rtr3	CacheMisses	1213
4	Rtr7	CacheHits	0
4	Rtr7	CacheMisses	3528
4	Rtr4	CacheHits	1427
4	Rtr4	CacheMisses	1580
4	Rtr5	CacheHits	1372
4	Rtr5	CacheMisses	1596
4	Rtr6	CacheHits	1378
4	Rtr6	CacheMisses	1570
4	Src1	CacheHits	0
4	Src1	CacheMisses	403
4	Src2	CacheHits	0
4	Src2	CacheMisses	360
4	Src3	CacheHits	0
4	Src3	CacheMisses	382
4	Src4	CacheHits	0
4	Src4	CacheMisses	436
4	Src5	CacheHits	0
4	Src5	CacheMisses	349
4	Src6	CacheHits	0
4	Src6	CacheMisses	384
4	Src7	CacheHits	0
4	Src7	CacheMisses	419
4	Src8	CacheHits	0
4	Src8	CacheMisses	338
4	Src9	CacheHits	0
4	Src9	CacheMisses	439
4	Dst1	CacheHits	113
4	Dst1	CacheMisses	443
4	Dst2	CacheHits	122
4	Dst2	CacheMisses	358
4	Dst3	CacheHits	94
4	Dst3	CacheMisses	449
4	Dst4	CacheHits	118
4	Dst4	CacheMisses	377
4	Dst5	CacheHits	156
4	Dst5	CacheMisses	383
4	Dst6	CacheHits	162
4	Dst6	CacheMisses	403
4	Dst7	CacheHits	132
4	Dst7	CacheMisses	345
4	Dst8	CacheHits	202
4	Dst8	CacheMisses	367
4	Dst9	CacheHits	110
4	Dst9	CacheMisses	409
5	Rtr1	CacheHits	0
5	Rtr1	CacheMisses	1334
5	Rtr2	CacheHits	0
5	Rtr2	CacheMisses	1227
5	Rtr3	CacheHits	0
5	Rtr3	CacheMisses	1216
5	Rtr7	CacheHits	0
5	Rtr7	CacheMisses	3762
5	Rtr4	CacheHits	1354
5	Rtr4	CacheMisses	1595
5	Rtr5	CacheHits	1293
5	Rtr5	CacheMisses	1711
5	Rtr6	CacheHits	1267
5	Rtr6	CacheMisses	1699
5	Src1	CacheHits	0
5	Src1	CacheMisses	489
5	Src2	CacheHits	0
5	Src2	CacheMisses	451
5	Src3	CacheHits	0
5	Src3	CacheMisses	415
5	Src4	CacheHits	0
5	Src4	CacheMisses	404
5	Src5	CacheHits	0
5	Src5	CacheMisses	415
5	Src6	CacheHits	0
5	Src6	CacheMisses	398
5	Src7	CacheHits	0
5	Src7	CacheMisses	409
5	Src8	CacheHits	0
5	Src8	CacheMisses	364
5	Src9	CacheHits	0
5	Src9	CacheMisses	444
5	Dst1	CacheHits	109
5	Dst1	CacheMisses	490
5	Dst2	CacheHits	118
5	Dst2	CacheMisses	360
5	Dst3	CacheHits	145
5	Dst3	CacheMisses	376
5	Dst4	CacheHits	120
5	Dst4	CacheMisses	391
5	Dst5	CacheHits	171
5	Dst5	CacheMisses	421
5	Dst6	CacheHits	157
5	Dst6	CacheMisses	451
5	Dst7	CacheHits	115
5	Dst7	CacheMisses	426
5	Dst8	CacheHits	148
5	Dst8	CacheMisses	412
5	Dst9	CacheHits	130
5	Dst9	CacheMisses	453
6	Rtr1	CacheHits	0
6	Rtr1	CacheMisses	1075
6	Rtr2	CacheHits	0
6	Rtr2	CacheMisses	1107
6	Rtr3	CacheHits	0
6	Rtr3	CacheMisses	1162
6	Rtr7	CacheHits	0
6	Rtr7	CacheMisses	3372
6	Rtr4	CacheHits	1309
6	Rtr4	CacheMisses	1638
6	Rtr5	CacheHits	1447
6	Rtr5	CacheMisses	1547
6	Rtr6	CacheHits	1295
6	Rtr6	CacheMisses	1671
6	Src1	CacheHits	0
6	Src1	CacheMisses	338
6	Src2	CacheHits	0
6	Src2	CacheMisses	368
6	Src3	CacheHits	0
6	Src3	CacheMisses	337
6	Src4	CacheHits	0
6	Src4	CacheMisses	357
6	Src5	CacheHits	0
6	Src5	CacheMisses	409
6	Src6	CacheHits	0
6	Src6	CacheMisses	340
6	Src7	CacheHits	0
6	Src7	CacheMisses	434
6	Src8	CacheHits	0
6	Src8	CacheMisses	375
6	Src9	CacheHits	0
6	Src9	CacheMisses	352
6	Dst1	CacheHits	187
6	Dst1	CacheMisses	340
6	Dst2	CacheHits	132
6	Dst2	CacheMisses	375
6	Dst3	CacheHits	131
6	Dst3	CacheMisses	480
6	Dst4	CacheHits	118
6	Dst4	CacheMisses	354
6	Dst5	CacheHits	119
6	Dst5	CacheMisses	411
6	Dst6	CacheHits	185
6	Dst6	CacheMisses	358
6	Dst7	CacheHits	156
6	Dst7	CacheMisses	379
6	Dst8	CacheHits	184
6	Dst8	CacheMisses	421
6	Dst9	CacheHits	161
6	Dst9	CacheMisses	389
7	Rtr1	CacheHits	0
7	Rtr1	CacheMisses	1175
7	Rtr2	CacheHits	0
7	Rtr2	CacheMisses	1242
7	Rtr3	CacheHits	0
7	Rtr3	CacheMisses	1130
7	Rtr7	CacheHits	0
7	Rtr7	CacheMisses	3531
7	Rtr4	CacheHits	1349
7	Rtr4	CacheMisses	1601
7	Rtr5	CacheHits	1392
7	Rtr5	CacheMisses	1635
7	Rtr6	CacheHits	1262
7	Rtr6	CacheMisses	1761
7	Src1	CacheHits	0
7	Src1	CacheMisses	363
7	Src2	CacheHits	0
7	Src2	CacheMisses	412
7	Src3	CacheHits	0
7	Src3	CacheMisses	434
7	Src4	CacheHits	0
7	Src4	CacheMisses	471
7	Src5	CacheHits	0
7	Src5	CacheMisses	426
7	Src6	CacheHits	0
7	Src6	CacheMisses	366
7	Src7	CacheHits	0
7	Src7	CacheMisses	375
7	Src8	CacheHits	0
7	Src8	CacheMisses	337
7	Src9	CacheHits	0
7	Src9	CacheMisses	411
7	Dst1	CacheHits	139
7	Dst1	CacheMisses	430
7	Dst2	CacheHits	121
7	Dst2	CacheMisses	338
7	Dst3	CacheHits	199
7	Dst3	CacheMisses	379
7	Dst4	CacheHits	128
7	Dst4	CacheMisses	375
7	Dst5	CacheHits	124
7	Dst5	CacheMisses	424
7	Dst6	CacheHits	142
7	Dst6	CacheMisses	430
7	Dst7	CacheHits	209
7	Dst7	CacheMisses	395
7	Dst8	CacheHits	186
7	Dst8	CacheMisses	380
7	Dst9	CacheHits	237
7	Dst9	CacheMisses	345
8	Rtr1	CacheHits	0
8	Rtr1	CacheMisses	1252
8	Rtr2	CacheHits	0
8	Rtr2	CacheMisses	1261
8	Rtr3	CacheHits	0
8	Rtr3	CacheMisses	1233
8	Rtr7	CacheHits	0
8	Rtr7	CacheMisses	3750
8	Rtr4	CacheHits	1382
8	Rtr4	CacheMisses	1619
8	Rtr5	CacheHits	1262
8	Rtr5	CacheMisses	1716
8	Rtr6	CacheHits	1222
8	Rtr6	CacheMisses	1795
8	Src1	CacheHits	0
8	Src1	CacheMisses	454
8	Src2	CacheHits	0
8	Src2	CacheMisses	356
8	Src3	CacheHits	0
8	Src3	CacheMisses	419
8	Src4	CacheHits	0
8	Src4	CacheMisses	380
8	Src5	CacheHits	0
8	Src5	CacheMisses	479
8	Src6	CacheHits	0
8	Src6	CacheMisses	394
8	Src7	CacheHits	0
8	Src7	CacheMisses	458
8	Src8	CacheHits	0
8	Src8	CacheMisses	361
8	Src9	CacheHits	0
8	Src9	CacheMisses	424
8	Dst1	CacheHits	128
8	Dst1	CacheMisses	427
8	Dst2	CacheHits	130
8	Dst2	CacheMisses	371
8	Dst3	CacheHits	138
8	Dst3	CacheMisses	420
8	Dst4	CacheHits	157
8	Dst4	CacheMisses	369
8	Dst5	CacheHits	154
8	Dst5	CacheMisses	445
8	Dst6	CacheHits	168
8	Dst6	CacheMisses	430
8	Dst7	CacheHits	169
8	Dst7	CacheMisses	472
8	Dst8	CacheHits	179
8	Dst8	CacheMisses	400
8	Dst9	CacheHits	137
8	Dst9	CacheMisses	447
9	Rtr1	CacheHits	0
9	Rtr1	CacheMisses	1076
9	Rtr2	CacheHits	0
9	Rtr2	CacheMisses	1182
9	Rtr3	CacheHits	0
9	Rtr3	CacheMisses	1150
9	Rtr7	CacheHits	0
9	Rtr7	CacheMisses	3427
9	Rtr4	CacheHits	1374
9	Rtr4	CacheMisses	1617
9	Rtr5	CacheHits	1250
9	Rtr5	CacheMisses	1726
9	Rtr6	CacheHits	1322
9	Rtr6	CacheMisses	1638
9	Src1	CacheHits	0
9	Src1	CacheMisses	342
9	Src2	CacheHits	0
9	Src2	CacheMisses	366
9	Src3	CacheHits	0
9	Src3	CacheMisses	370
9	Src4	CacheHits	0
9	Src4	CacheMisses	396
9	Src5	CacheHits	0
9	Src5	CacheMisses	354
9	Src6	CacheHits	0
9	Src6	CacheMisses	420
9	Src7	CacheHits	0
9	Src7	CacheMisses	379
9	Src8	CacheHits	0
9	Src8	CacheMisses	355
9	Src9	CacheHits	0
9	Src9	CacheMisses	409
9	Dst1	CacheHits	166
9	Dst1	CacheMisses	388
9	Dst2	CacheHits	113
9	Dst2	CacheMisses	370
9	Dst3	CacheHits	157
9	Dst3	CacheMisses	431
9	Dst4	CacheHits	151
9	Dst4	CacheMisses	462
9	Dst5	CacheHits	168
9	Dst5	CacheMisses	406
9	Dst6	CacheHits	189
9	Dst6	CacheMisses	357
9	Dst7	CacheHits	186
9	Dst7	CacheMisses	378
9	Dst8	CacheHits	187
9	Dst8	CacheMisses	357
9	Dst9	CacheHits	156
9	Dst9	CacheMisses	384
