Time	Node	Type	Packets	
1	Rtr1	CacheHits	1
1	Rtr1	CacheMisses	1624
1	Rtr2	CacheHits	1
1	Rtr2	CacheMisses	1534
1	Rtr3	CacheHits	1
1	Rtr3	CacheMisses	1578
1	Rtr7	CacheHits	1
1	Rtr7	CacheMisses	4677
1	Rtr4	CacheHits	1319
1	Rtr4	CacheMisses	1593
1	Rtr5	CacheHits	1400
1	Rtr5	CacheMisses	1557
1	Rtr6	CacheHits	1233
1	Rtr6	CacheMisses	1651
1	Src1	CacheHits	1
1	Src1	CacheMisses	544
1	Src2	CacheHits	1
1	Src2	CacheMisses	550
1	Src3	CacheHits	1
1	Src3	CacheMisses	552
1	Src4	CacheHits	1
1	Src4	CacheMisses	550
1	Src5	CacheHits	1
1	Src5	CacheMisses	501
1	Src6	CacheHits	1
1	Src6	CacheMisses	522
1	Src7	CacheHits	1
1	Src7	CacheMisses	525
1	Src8	CacheHits	1
1	Src8	CacheMisses	550
1	Src9	CacheHits	1
1	Src9	CacheMisses	538
1	Dst1	CacheHits	9
1	Dst1	CacheMisses	517
1	Dst2	CacheHits	12
1	Dst2	CacheMisses	535
1	Dst3	CacheHits	11
1	Dst3	CacheMisses	510
1	Dst4	CacheHits	16
1	Dst4	CacheMisses	500
1	Dst5	CacheHits	12
1	Dst5	CacheMisses	486
1	Dst6	CacheHits	19
1	Dst6	CacheMisses	527
1	Dst7	CacheHits	9
1	Dst7	CacheMisses	532
1	Dst8	CacheHits	1
1	Dst8	CacheMisses	550
1	Dst9	CacheHits	32
1	Dst9	CacheMisses	536
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	1243
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	1095
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	1077
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	3399
2	Rtr4	CacheHits	760
2	Rtr4	CacheMisses	2183
2	Rtr5	CacheHits	772
2	Rtr5	CacheMisses	2222
2	Rtr6	CacheHits	642
2	Rtr6	CacheMisses	2348
2	Src1	CacheHits	0
2	Src1	CacheMisses	428
2	Src2	CacheHits	0
2	Src2	CacheMisses	452
2	Src3	CacheHits	0
2	Src3	CacheMisses	368
2	Src4	CacheHits	0
2	Src4	CacheMisses	390
2	Src5	CacheHits	0
2	Src5	CacheMisses	368
2	Src6	CacheHits	0
2	Src6	CacheMisses	330
2	Src7	CacheHits	0
2	Src7	CacheMisses	358
2	Src8	CacheHits	0
2	Src8	CacheMisses	350
2	Src9	CacheHits	0
2	Src9	CacheMisses	363
2	Dst1	CacheHits	358
2	Dst1	CacheMisses	359
2	Dst2	CacheHits	354
2	Dst2	CacheMisses	346
2	Dst3	CacheHits	375
2	Dst3	CacheMisses	368
2	Dst4	CacheHits	376
2	Dst4	CacheMisses	335
2	Dst5	CacheHits	382
2	Dst5	CacheMisses	366
2	Dst6	CacheHits	369
2	Dst6	CacheMisses	374
2	Dst7	CacheHits	413
2	Dst7	CacheMisses	367
2	Dst8	CacheHits	386
2	Dst8	CacheMisses	413
2	Dst9	CacheHits	316
2	Dst9	CacheMisses	436
3	Rtr1	CacheHits	0
3	Rtr1	CacheMisses	1162
3	Rtr2	CacheHits	0
3	Rtr2	CacheMisses	1163
3	Rtr3	CacheHits	0
3	Rtr3	CacheMisses	1211
3	Rtr7	CacheHits	0
3	Rtr7	CacheMisses	3564
3	Rtr4	CacheHits	219
3	Rtr4	CacheMisses	2769
3	Rtr5	CacheHits	242
3	Rtr5	CacheMisses	2666
3	Rtr6	CacheHits	179
3	Rtr6	CacheMisses	2868
3	Src1	CacheHits	0
3	Src1	CacheMisses	372
3	Src2	CacheHits	0
3	Src2	CacheMisses	382
3	Src3	CacheHits	0
3	Src3	CacheMisses	397
3	Src4	CacheHits	0
3	Src4	CacheMisses	349
3	Src5	CacheHits	0
3	Src5	CacheMisses	428
3	Src6	CacheHits	0
3	Src6	CacheMisses	390
3	Src7	CacheHits	0
3	Src7	CacheMisses	441
3	Src8	CacheHits	0
3	Src8	CacheMisses	385
3	Src9	CacheHits	0
3	Src9	CacheMisses	396
3	Dst1	CacheHits	533
3	Dst1	CacheMisses	405
3	Dst2	CacheHits	511
3	Dst2	CacheMisses	383
3	Dst3	CacheHits	533
3	Dst3	CacheMisses	399
3	Dst4	CacheHits	486
3	Dst4	CacheMisses	393
3	Dst5	CacheHits	487
3	Dst5	CacheMisses	435
3	Dst6	CacheHits	502
3	Dst6	CacheMisses	362
3	Dst7	CacheHits	551
3	Dst7	CacheMisses	405
3	Dst8	CacheHits	548
3	Dst8	CacheMisses	421
3	Dst9	CacheHits	564
3	Dst9	CacheMisses	372
4	Rtr1	CacheHits	0
4	Rtr1	CacheMisses	1126
4	Rtr2	CacheHits	0
4	Rtr2	CacheMisses	1200
4	Rtr3	CacheHits	0
4	Rtr3	CacheMisses	1171
4	Rtr7	CacheHits	0
4	Rtr7	CacheMisses	3482
4	Rtr4	CacheHits	91
4	Rtr4	CacheMisses	2879
4	Rtr5	CacheHits	76
4	Rtr5	CacheMisses	2861
4	Rtr6	CacheHits	49
4	Rtr6	CacheMisses	2906
4	Src1	CacheHits	0
4	Src1	CacheMisses	405
4	Src2	CacheHits	0
4	Src2	CacheMisses	352
4	Src3	CacheHits	0
4	Src3	CacheMisses	389
4	Src4	CacheHits	0
4	Src4	CacheMisses	386
4	Src5	CacheHits	0
4	Src5	CacheMisses	422
4	Src6	CacheHits	0
4	Src6	CacheMisses	392
