Time	Node	Type	Packets	
1	Rtr1	CacheHits	1
1	Rtr1	CacheMisses	1624
1	Rtr2	CacheHits	1
1	Rtr2	CacheMisses	1534
1	Rtr3	CacheHits	1
1	Rtr3	CacheMisses	1578
1	Rtr7	CacheHits	1
1	Rtr7	CacheMisses	4677
1	Rtr4	CacheHits	1356
1	Rtr4	CacheMisses	1556
1	Rtr5	CacheHits	1450
1	Rtr5	CacheMisses	1507
1	Rtr6	CacheHits	1272
1	Rtr6	CacheMisses	1612
1	Src1	CacheHits	1
1	Src1	CacheMisses	544
1	Src2	CacheHits	1
1	Src2	CacheMisses	550
1	Src3	CacheHits	1
1	Src3	CacheMisses	552
1	Src4	CacheHits	1
1	Src4	CacheMisses	550
1	Src5	CacheHits	1
1	Src5	CacheMisses	501
1	Src6	CacheHits	1
1	Src6	CacheMisses	522
1	Src7	CacheHits	1
1	Src7	CacheMisses	525
1	Src8	CacheHits	1
1	Src8	CacheMisses	550
1	Src9	CacheHits	1
1	Src9	CacheMisses	538
1	Dst1	CacheHits	1
1	Dst1	CacheMisses	517
1	Dst2	CacheHits	1
1	Dst2	CacheMisses	535
1	Dst3	CacheHits	1
1	Dst3	CacheMisses	510
1	Dst4	CacheHits	1
1	Dst4	CacheMisses	500
1	Dst5	CacheHits	1
1	Dst5	CacheMisses	486
1	Dst6	CacheHits	1
1	Dst6	CacheMisses	527
1	Dst7	CacheHits	1
1	Dst7	CacheMisses	532
1	Dst8	CacheHits	1
1	Dst8	CacheMisses	550
1	Dst9	CacheHits	1
1	Dst9	CacheMisses	536
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	1223
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	1164
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	1099
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	3496
2	Rtr4	CacheHits	1849
2	Rtr4	CacheMisses	1094
2	Rtr5	CacheHits	1826
2	Rtr5	CacheMisses	1168
2	Rtr6	CacheHits	1705
2	Rtr6	CacheMisses	1285
2	Src1	CacheHits	0
2	Src1	CacheMisses	429
2	Src2	CacheHits	0
2	Src2	CacheMisses	429
2	Src3	CacheHits	0
2	Src3	CacheMisses	362
2	Src4	CacheHits	0
2	Src4	CacheMisses	391
2	Src5	CacheHits	0
2	Src5	CacheMisses	409
2	Src6	CacheHits	0
2	Src6	CacheMisses	338
2	Src7	CacheHits	0
2	Src7	CacheMisses	405
2	Src8	CacheHits	0
2	Src8	CacheMisses	345
2	Src9	CacheHits	0
2	Src9	CacheMisses	347
2	Dst1	CacheHits	0
2	Dst1	CacheMisses	355
2	Dst2	CacheHits	0
2	Dst2	CacheMisses	349
2	Dst3	CacheHits	0
2	Dst3	CacheMisses	390
2	Dst4	CacheHits	0
2	Dst4	CacheMisses	360
2	Dst5	CacheHits	0
2	Dst5	CacheMisses	424
2	Dst6	CacheHits	0
2	Dst6	CacheMisses	375
2	Dst7	CacheHits	2
2	Dst7	CacheMisses	382
2	Dst8	CacheHits	63
2	Dst8	CacheMisses	390
2	Dst9	CacheHits	4
2	Dst9	CacheMisses	437
3	Rtr1	CacheHits	0
3	Rtr1	CacheMisses	1313
3	Rtr2	CacheHits	0
3	Rtr2	CacheMisses	1195
3	Rtr3	CacheHits	0
3	Rtr3	CacheMisses	1204
3	Rtr7	CacheHits	0
3	Rtr7	CacheMisses	3715
3	Rtr4	CacheHits	1824
3	Rtr4	CacheMisses	1217
3	Rtr5	CacheHits	1744
3	Rtr5	CacheMisses	1208
3	Rtr6	CacheHits	1432
3	Rtr6	CacheMisses	1616
3	Src1	CacheHits	0
3	Src1	CacheMisses	450
3	Src2	CacheHits	0
3	Src2	CacheMisses	440
3	Src3	CacheHits	0
3	Src3	CacheMisses	419
3	Src4	CacheHits	0
3	Src4	CacheMisses	390
3	Src5	CacheHits	0
3	Src5	CacheMisses	432
3	Src6	CacheHits	0
3	Src6	CacheMisses	380
3	Src7	CacheHits	0
3	Src7	CacheMisses	420
3	Src8	CacheHits	0
3	Src8	CacheMisses	379
3	Src9	CacheHits	0
3	Src9	CacheMisses	402
3	Dst1	CacheHits	0
3	Dst1	CacheMisses	415
3	Dst2	CacheHits	2
3	Dst2	CacheMisses	370
3	Dst3	CacheHits	0
3	Dst3	CacheMisses	430
3	Dst4	CacheHits	0
3	Dst4	CacheMisses	379
3	Dst5	CacheHits	0
3	Dst5	CacheMisses	437
3	Dst6	CacheHits	2
3	Dst6	CacheMisses	388
3	Dst7	CacheHits	39
3	Dst7	CacheMisses	423
3	Dst8	CacheHits	176
3	Dst8	CacheMisses	479
3	Dst9	CacheHits	86
3	Dst9	CacheMisses	414
4	Rtr1	CacheHits	0
4	Rtr1	CacheMisses	1067
4	Rtr2	CacheHits	0
4	Rtr2	CacheMisses	1271
4	Rtr3	CacheHits	0
4	Rtr3	CacheMisses	1260
4	Rtr7	CacheHits	0
4	Rtr7	CacheMisses	3587
4	Rtr4	CacheHits	1661
4	Rtr4	CacheMisses	1343
4	Rtr5	CacheHits	1414
4	Rtr5	CacheMisses	1553
4	Rtr6	CacheHits	1246
4	Rtr6	CacheMisses	1715
4	Src1	CacheHits	0
4	Src1	CacheMisses	340
4	Src2	CacheHits	0
4	Src2	CacheMisses	362
4	Src3	CacheHits	0
4	Src3	CacheMisses	367
4	Src4	CacheHits	0
4	Src4	CacheMisses	395
4	Src5	CacheHits	0
4	Src5	CacheMisses	421
4	Src6	CacheHits	0
