Time	Node	Type	Packets	
1	Rtr1	CacheHits	0
1	Rtr1	CacheMisses	1620
1	Rtr2	CacheHits	0
1	Rtr2	CacheMisses	1621
1	Rtr3	CacheHits	0
1	Rtr3	CacheMisses	1652
1	Rtr7	CacheHits	0
1	Rtr7	CacheMisses	4811
1	Rtr4	CacheHits	0
1	Rtr4	CacheMisses	2911
1	Rtr5	CacheHits	0
1	Rtr5	CacheMisses	2956
1	Rtr6	CacheHits	0
1	Rtr6	CacheMisses	2883
1	Src1	CacheHits	0
1	Src1	CacheMisses	548
1	Src2	CacheHits	0
1	Src2	CacheMisses	551
1	Src3	CacheHits	0
1	Src3	CacheMisses	553
1	Src4	CacheHits	0
1	Src4	CacheMisses	565
1	Src5	CacheHits	0
1	Src5	CacheMisses	535
1	Src6	CacheHits	0
1	Src6	CacheMisses	560
1	Src7	CacheHits	0
1	Src7	CacheMisses	567
1	Src8	CacheHits	0
1	Src8	CacheMisses	575
1	Src9	CacheHits	0
1	Src9	CacheMisses	545
1	Dst1	CacheHits	0
1	Dst1	CacheMisses	963
1	Dst2	CacheHits	0
1	Dst2	CacheMisses	984
1	Dst3	CacheHits	0
1	Dst3	CacheMisses	945
1	Dst4	CacheHits	0
1	Dst4	CacheMisses	988
1	Dst5	CacheHits	0
1	Dst5	CacheMisses	940
1	Dst6	CacheHits	0
1	Dst6	CacheMisses	999
1	Dst7	CacheHits	0
1	Dst7	CacheMisses	939
1	Dst8	CacheHits	0
1	Dst8	CacheMisses	954
1	Dst9	CacheHits	0
1	Dst9	CacheMisses	969
2	Rtr1	CacheHits	0
2	Rtr1	CacheMisses	1162
2	Rtr2	CacheHits	0
2	Rtr2	CacheMisses	1175
2	Rtr3	CacheHits	0
2	Rtr3	CacheMisses	1147
2	Rtr7	CacheHits	0
2	Rtr7	CacheMisses	3473
2	Rtr4	CacheHits	0
2	Rtr4	CacheMisses	2943
2	Rtr5	CacheHits	0
2	Rtr5	CacheMisses	2994
2	Rtr6	CacheHits	0
2	Rtr6	CacheMisses	2990
2	Src1	CacheHits	0
2	Src1	CacheMisses	360
2	Src2	CacheHits	0
2	Src2	CacheMisses	404
2	Src3	CacheHits	0
2	Src3	CacheMisses	404
2	Src4	CacheHits	0
2	Src4	CacheMisses	385
2	Src5	CacheHits	0
2	Src5	CacheMisses	409
2	Src6	CacheHits	0
2	Src6	CacheMisses	374
2	Src7	CacheHits	0
2	Src7	CacheMisses	380
2	Src8	CacheHits	0
2	Src8	CacheMisses	364
2	Src9	CacheHits	0
2	Src9	CacheMisses	401
2	Dst1	CacheHits	0
2	Dst1	CacheMisses	966
2	Dst2	CacheHits	0
2	Dst2	CacheMisses	984
2	Dst3	CacheHits	0
2	Dst3	CacheMisses	987
2	Dst4	CacheHits	0
2	Dst4	CacheMisses	994
2	Dst5	CacheHits	0
2	Dst5	CacheMisses	1003
2	Dst6	CacheHits	0
2	Dst6	CacheMisses	1006
2	Dst7	CacheHits	0
2	Dst7	CacheMisses	979
2	Dst8	CacheHits	0
2	Dst8	CacheMisses	1036
2	Dst9	CacheHits	0
2	Dst9	CacheMisses	974
3	Rtr1	CacheHits	0
3	Rtr1	CacheMisses	1228
3	Rtr2	CacheHits	0
3	Rtr2	CacheMisses	1165
3	Rtr3	CacheHits	0
3	Rtr3	CacheMisses	1188
3	Rtr7	CacheHits	0
3	Rtr7	CacheMisses	3603
3	Rtr4	CacheHits	0
3	Rtr4	CacheMisses	3037
3	Rtr5	CacheHits	0
3	Rtr5	CacheMisses	2965
3	Rtr6	CacheHits	0
3	Rtr6	CacheMisses	3047
3	Src1	CacheHits	0
3	Src1	CacheMisses	400
3	Src2	CacheHits	0
3	Src2	CacheMisses	422
3	Src3	CacheHits	0
3	Src3	CacheMisses	396
3	Src4	CacheHits	0
3	Src4	CacheMisses	354
3	Src5	CacheHits	0
3	Src5	CacheMisses	375
3	Src6	CacheHits	0
3	Src6	CacheMisses	440
3	Src7	CacheHits	0
3	Src7	CacheMisses	394
3	Src8	CacheHits	0
3	Src8	CacheMisses	424
3	Src9	CacheHits	0
3	Src9	CacheMisses	377
3	Dst1	CacheHits	0
3	Dst1	CacheMisses	1014
3	Dst2	CacheHits	0
3	Dst2	CacheMisses	1018
3	Dst3	CacheHits	0
3	Dst3	CacheMisses	1000
3	Dst4	CacheHits	0
3	Dst4	CacheMisses	999
3	Dst5	CacheHits	0
3	Dst5	CacheMisses	991
3	Dst6	CacheHits	0
3	Dst6	CacheMisses	974
3	Dst7	CacheHits	0
3	Dst7	CacheMisses	1005
3	Dst8	CacheHits	0
3	Dst8	CacheMisses	1041
3	Dst9	CacheHits	0
3	Dst9	CacheMisses	1005
4	Rtr1	CacheHits	0
4	Rtr1	CacheMisses	1165
4	Rtr2	CacheHits	0
4	Rtr2	CacheMisses	1200
4	Rtr3	CacheHits	0
4	Rtr3	CacheMisses	1167
4	Rtr7	CacheHits	0
4	Rtr7	CacheMisses	3534
4	Rtr4	CacheHits	0
4	Rtr4	CacheMisses	3004
4	Rtr5	CacheHits	0
4	Rtr5	CacheMisses	2965
4	Rtr6	CacheHits	0
4	Rtr6	CacheMisses	2953
4	Src1	CacheHits	0
4	Src1	CacheMisses	402
4	Src2	CacheHits	0
4	Src2	CacheMisses	360
4	Src3	CacheHits	0
4	Src3	CacheMisses	407
4	Src4	CacheHits	0
4	Src4	CacheMisses	371
4	Src5	CacheHits	0
4	Src5	CacheMisses	428
4	Src6	CacheHits	0
4	Src6	CacheMisses	401
4	Src7	CacheHits	0
4	Src7	CacheMisses	396
4	Src8	CacheHits	0
4	Src8	CacheMisses	375
4	Src9	CacheHits	0
4	Src9	CacheMisses	389
4	Dst1	CacheHits	0
4	Dst1	CacheMisses	1025
4	Dst2	CacheHits	0
4	Dst2	CacheMisses	981
4	Dst3	CacheHits	0
4	Dst3	CacheMisses	1001
4	Dst4	CacheHits	0
4	Dst4	CacheMisses	990
4	Dst5	CacheHits	0
4	Dst5	CacheMisses	986
4	Dst6	CacheHits	0
4	Dst6	CacheMisses	986
4	Dst7	CacheHits	0
4	Dst7	CacheMisses	985
4	Dst8	CacheHits	0
4	Dst8	CacheMisses	987
4	Dst9	CacheHits	0
4	Dst9	CacheMisses	976
5	Rtr1	CacheHits	0
5	Rtr1	CacheMisses	1209
5	Rtr2	CacheHits	0
5	Rtr2	CacheMisses	1173
5	Rtr3	CacheHits	0
5	Rtr3	CacheMisses	1160
5	Rtr7	CacheHits	0
5	Rtr7	CacheMisses	3535
5	Rtr4	CacheHits	0
5	Rtr4	CacheMisses	2948
5	Rtr5	CacheHits	0
5	Rtr5	CacheMisses	2999
5	Rtr6	CacheHits	0
5	Rtr6	CacheMisses	2964
5	Src1	CacheHits	0
5	Src1	CacheMisses	404
5	Src2	CacheHits	0
5	Src2	CacheMisses	418
5	Src3	CacheHits	0
5	Src3	CacheMisses	384
5	Src4	CacheHits	0
5	Src4	CacheMisses	393
5	Src5	CacheHits	0
5	Src5	CacheMisses	381
5	Src6	CacheHits	0
5	Src6	CacheMisses	399
5	Src7	CacheHits	0
5	Src7	CacheMisses	419
5	Src8	CacheHits	0
5	Src8	CacheMisses	377
5	Src9	CacheHits	0
5	Src9	CacheMisses	364
5	Dst1	CacheHits	0
5	Dst1	CacheMisses	1002
5	Dst2	CacheHits	0
5	Dst2	CacheMisses	957
5	Dst3	CacheHits	0
5	Dst3	CacheMisses	997
5	Dst4	CacheHits	0
5	Dst4	CacheMisses	1003
5	Dst5	CacheHits	0
5	Dst5	CacheMisses	1000
5	Dst6	CacheHits	0
5	Dst6	CacheMisses	987
5	Dst7	CacheHits	0
5	Dst7	CacheMisses	999
5	Dst8	CacheHits	0
5	Dst8	CacheMisses	977
5	Dst9	CacheHits	0
5	Dst9	CacheMisses	984
6	Rtr1	CacheHits	0
6	Rtr1	CacheMisses	1191
6	Rtr2	CacheHits	0
6	Rtr2	CacheMisses	1222
6	Rtr3	CacheHits	0
6	Rtr3	CacheMisses	1182
6	Rtr7	CacheHits	0
6	Rtr7	CacheMisses	3601
6	Rtr4	CacheHits	0
6	Rtr4	CacheMisses	2946
6	Rtr5	CacheHits	0
6	Rtr5	CacheMisses	2999
6	Rtr6	CacheHits	0
6	Rtr6	CacheMisses	2968
6	Src1	CacheHits	0
6	Src1	CacheMisses	434
6	Src2	CacheHits	0
6	Src2	CacheMisses	376
6	Src3	CacheHits	0
6	Src3	CacheMisses	383
6	Src4	CacheHits	0
6	Src4	CacheMisses	382
6	Src5	CacheHits	0
6	Src5	CacheMisses	423
6	Src6	CacheHits	0
6	Src6	CacheMisses	408
6	Src7	CacheHits	0
6	Src7	CacheMisses	410
6	Src8	CacheHits	0
6	Src8	CacheMisses	404
6	Src9	CacheHits	0
6	Src9	CacheMisses	372
6	Dst1	CacheHits	0
6	Dst1	CacheMisses	942
6	Dst2	CacheHits	0
6	Dst2	CacheMisses	1006
6	Dst3	CacheHits	0
6	Dst3	CacheMisses	999
6	Dst4	CacheHits	0
6	Dst4	CacheMisses	998
6	Dst5	CacheHits	0
6	Dst5	CacheMisses	1003
6	Dst6	CacheHits	0
6	Dst6	CacheMisses	1001
6	Dst7	CacheHits	0
6	Dst7	CacheMisses	978
6	Dst8	CacheHits	0
6	Dst8	CacheMisses	997
6	Dst9	CacheHits	0
6	Dst9	CacheMisses	990
7	Rtr1	CacheHits	0
7	Rtr1	CacheMisses	1185
7	Rtr2	CacheHits	0
7	Rtr2	CacheMisses	1234
7	Rtr3	CacheHits	0
7	Rtr3	CacheMisses	1189
7	Rtr7	CacheHits	0
7	Rtr7	CacheMisses	3614
7	Rtr4	CacheHits	0
7	Rtr4	CacheMisses	2943
7	Rtr5	CacheHits	0
7	Rtr5	CacheMisses	3039
7	Rtr6	CacheHits	0
7	Rtr6	CacheMisses	3015
7	Src1	CacheHits	0
7	Src1	CacheMisses	385
7	Src2	CacheHits	0
7	Src2	CacheMisses	402
7	Src3	CacheHits	0
7	Src3	CacheMisses	396
7	Src4	CacheHits	0
7	Src4	CacheMisses	421
7	Src5	CacheHits	0
7	Src5	CacheMisses	418
7	Src6	CacheHits	0
7	Src6	CacheMisses	412
7	Src7	CacheHits	0
7	Src7	CacheMisses	364
7	Src8	CacheHits	0
7	Src8	CacheMisses	403
7	Src9	CacheHits	0
7	Src9	CacheMisses	422
7	Dst1	CacheHits	0
7	Dst1	CacheMisses	982
7	Dst2	CacheHits	0
7	Dst2	CacheMisses	966
7	Dst3	CacheHits	0
7	Dst3	CacheMisses	989
7	Dst4	CacheHits	0
7	Dst4	CacheMisses	1005
7	Dst5	CacheHits	0
7	Dst5	CacheMisses	1027
7	Dst6	CacheHits	0
7	Dst6	CacheMisses	1014
7	Dst7	CacheHits	0
7	Dst7	CacheMisses	1010
7	Dst8	CacheHits	0
7	Dst8	CacheMisses	1008
7	Dst9	CacheHits	0
7	Dst9	CacheMisses	997
8	Rtr1	CacheHits	0
8	Rtr1	CacheMisses	1157
8	Rtr2	CacheHits	0
8	Rtr2	CacheMisses	1180
8	Rtr3	CacheHits	0
8	Rtr3	CacheMisses	1177
8	Rtr7	CacheHits	0
8	Rtr7	CacheMisses	3526
8	Rtr4	CacheHits	0
8	Rtr4	CacheMisses	3003
8	Rtr5	CacheHits	0
8	Rtr5	CacheMisses	2983
8	Rtr6	CacheHits	0
8	Rtr6	CacheMisses	3009
8	Src1	CacheHits	0
8	Src1	CacheMisses	347
8	Src2	CacheHits	0
8	Src2	CacheMisses	413
8	Src3	CacheHits	0
8	Src3	CacheMisses	391
8	Src4	CacheHits	0
8	Src4	CacheMisses	391
8	Src5	CacheHits	0
8	Src5	CacheMisses	388
8	Src6	CacheHits	0
8	Src6	CacheMisses	384
8	Src7	CacheHits	0
8	Src7	CacheMisses	390
8	Src8	CacheHits	0
8	Src8	CacheMisses	406
8	Src9	CacheHits	0
8	Src9	CacheMisses	383
8	Dst1	CacheHits	0
8	Dst1	CacheMisses	1004
8	Dst2	CacheHits	0
8	Dst2	CacheMisses	1000
8	Dst3	CacheHits	0
8	Dst3	CacheMisses	1001
8	Dst4	CacheHits	0
8	Dst4	CacheMisses	987
8	Dst5	CacheHits	0
8	Dst5	CacheMisses	983
8	Dst6	CacheHits	0
8	Dst6	CacheMisses	1012
8	Dst7	CacheHits	0
8	Dst7	CacheMisses	1030
8	Dst8	CacheHits	0
8	Dst8	CacheMisses	983
8	Dst9	CacheHits	0
8	Dst9	CacheMisses	998
9	Rtr1	CacheHits	0
9	Rtr1	CacheMisses	1183
9	Rtr2	CacheHits	0
9	Rtr2	CacheMisses	1132
9	Rtr3	CacheHits	0
9	Rtr3	CacheMisses	1189
9	Rtr7	CacheHits	0
9	Rtr7	CacheMisses	3482
9	Rtr4	CacheHits	0
9	Rtr4	CacheMisses	2988
9	Rtr5	CacheHits	0
9	Rtr5	CacheMisses	2971
9	Rtr6	CacheHits	0
9	Rtr6	CacheMisses	2951
9	Src1	CacheHits	0
9	Src1	CacheMisses	440
9	Src2	CacheHits	0
9	Src2	CacheMisses	382
9	Src3	CacheHits	0
9	Src3	CacheMisses	379
9	Src4	CacheHits	0
9	Src4	CacheMisses	398
9	Src5	CacheHits	0
9	Src5	CacheMisses	390
9	Src6	CacheHits	0
9	Src6	CacheMisses	344
9	Src7	CacheHits	0
9	Src7	CacheMisses	412
9	Src8	CacheHits	0
9	Src8	CacheMisses	408
9	Src9	CacheHits	0
9	Src9	CacheMisses	367
9	Dst1	CacheHits	0
9	Dst1	CacheMisses	990
9	Dst2	CacheHits	0
9	Dst2	CacheMisses	991
9	Dst3	CacheHits	0
9	Dst3	CacheMisses	1007
9	Dst4	CacheHits	0
9	Dst4	CacheMisses	989
9	Dst5	CacheHits	0
9	Dst5	CacheMisses	991
9	Dst6	CacheHits	0
9	Dst6	CacheMisses	992
9	Dst7	CacheHits	0
9	Dst7	CacheMisses	995
9	Dst8	CacheHits	0
9	Dst8	CacheMisses	978
9	Dst9	CacheHits	0
9	Dst9	CacheMisses	983
